raw_label,normalized_key,line_count,notes
# 10,# 10,14,
# 10 1/ 2,# 10 1/ 2,56,revisar nombre canónico
# 11,# 11,298,
# 11 1/2,# 11 1/2,133,
# 12,# 12,154,
# 12 1/2,# 12 1/2,14,
# 13,# 13,91,
# 14,# 14,197,
# 15,# 15,252,
# 16,# 16,56,
# 9,# 9,7,
# 9 1/2,# 9 1/2,29,
#11,#11,5,revisar nombre canónico
ADICIONALES,adicionales,178,
ESPECIALIDADES,especialidades,29,
Especialidades,especialidades,7,
FLAUTA,flauta,83,
GRUESO,grueso,114,
Huarache,huarache,28,
MASA,masa,14,
SANCOCHADO,sancochado,271,
VAPOR,vapor,95,
